id,student_id,title,description,domain_tags
75,39,Library Management Portal,Necessitatibus quidem cupiditate sequi tempore repudiandae maiores assumenda pariatur delectus consequuntur.,Cloud
76,39,Weather Prediction Model,Vel ab fugit ipsum eaque eveniet nesciunt nemo ea facere dolores pariatur.,IoT
77,40,Library Management Portal,Esse illo magnam tempora provident est blanditiis totam eos nostrum dolor consequatur corrupti quibusdam.,IoT
78,40,Weather Prediction Model,Fuga praesentium totam quidem reiciendis repudiandae quis perspiciatis nisi ratione minima minus facere totam beatae repudiandae.,IoT
79,41,IoT Smart Campus,Dicta modi cum sequi ipsam perspiciatis quaerat laborum tempore ipsum animi consequatur impedit natus.,Web
80,42,Library Management Portal,Iure rem quam id repellendus quia neque aliquid exercitationem aperiam voluptatibus vel architecto ut adipisci.,Data Engineering
81,43,IoT Smart Campus,Debitis consequatur odit quas vitae fugiat tempora ipsum totam fugiat aspernatur vitae soluta.,IoT
82,44,Attendance Tracker,Officiis expedita debitis modi minus quas dolore a ad.,AI/ML
83,44,Library Management Portal,Iure quaerat incidunt fugit dolorem itaque culpa deleniti soluta quisquam adipisci.,Data Engineering
84,44,Campus Event App,Nostrum vel suscipit dolores architecto nisi ipsum perferendis sit doloribus aliquid ipsa molestiae.,AI/ML
85,45,AI Resume Screener,Consequuntur voluptatibus doloremque totam nemo neque quo repellendus.,Mobile
86,45,Weather Prediction Model,Error corporis optio dolore error aperiam veniam sunt tenetur numquam.,Cloud
87,45,AI Resume Screener,Nam aliquid exercitationem officia fugit minima possimus illum error delectus modi dolores dolorem.,AI/ML
88,46,E-commerce Recommender,Rem totam natus voluptas nam consequatur doloribus dignissimos officia.,Cloud
89,46,IoT Smart Campus,Sed at quam deleniti eaque perferendis nobis sit deleniti quis quam nam laboriosam sit.,AI/ML
90,47,Chatbot Assistant,Esse tenetur distinctio deleniti qui quia quidem totam possimus provident id dolores.,AI/ML
91,48,E-commerce Recommender,Quod fugit modi facere ea maiores libero atque voluptatem iusto saepe totam.,Mobile
92,48,Library Management Portal,Est aliquid sint qui accusamus mollitia nesciunt quam eos deserunt dolorem necessitatibus.,Mobile
93,49,Campus Event App,Libero omnis placeat ducimus reprehenderit vitae odit laudantium cumque recusandae.,Web
94,50,Placement Analytics Dashboard,Consequuntur molestias delectus suscipit voluptatibus vero minima saepe asperiores.,Data Engineering
95,50,E-commerce Recommender,Quisquam impedit sapiente doloremque provident ab magni.,Mobile
96,50,Campus Event App,Aperiam odit ut totam omnis accusamus minus illum accusantium quam modi enim.,Web
97,51,Placement Analytics Dashboard,Repellat perferendis rem tenetur autem atque corrupti deleniti minima repellendus eaque id fuga illo.,Data Engineering
98,51,IoT Smart Campus,Doloribus possimus error repudiandae aspernatur voluptatibus officiis adipisci illo fugiat labore odio praesentium assumenda sapiente.,AI/ML
99,51,AI Resume Screener,Natus similique atque minus aliquam distinctio sint suscipit labore aliquid asperiores unde.,Mobile
100,52,Library Management Portal,Natus adipisci ut et vero nesciunt quibusdam quae id aspernatur cum dolores rerum harum tempore.,Data Engineering
101,53,Fraud Detection System,Fugit qui ratione porro aspernatur quia exercitationem atque doloremque asperiores non nostrum.,Mobile
102,53,Chatbot Assistant,Id quo adipisci earum voluptatibus laudantium explicabo velit inventore perspiciatis optio assumenda nulla reiciendis quae aspernatur.,Data Engineering
103,53,Library Management Portal,Fugit quos culpa harum facere at velit ipsam quis.,Data Engineering
104,54,Campus Event App,Consequatur deleniti ipsum mollitia illum ad explicabo at.,Cloud
105,54,IoT Smart Campus,Quos sint accusamus impedit quod quam nam voluptatibus doloribus maxime placeat cumque eaque eaque corporis cumque.,Web
106,54,Library Management Portal,In laborum asperiores dolorum doloribus numquam nisi deserunt autem esse veniam.,IoT
107,55,Library Management Portal,Sapiente fugit similique ipsam inventore reprehenderit officiis nisi error nobis possimus laboriosam.,IoT
108,55,Chatbot Assistant,Vitae voluptas eos possimus laudantium nemo doloribus fugiat repellendus.,Web
109,56,Fraud Detection System,Facilis ut dicta voluptatum debitis quisquam ad quas velit distinctio reiciendis rerum architecto.,Cloud
110,57,Attendance Tracker,Perferendis consequuntur esse dolorum culpa incidunt fugiat ipsum nisi neque modi unde sit.,Data Engineering
111,57,Chatbot Assistant,Molestiae ratione facere tempora modi odit assumenda quisquam omnis explicabo officia aliquid voluptates.,Data Engineering
112,58,Library Management Portal,Vitae ex recusandae autem atque dolore quia nam porro dolore fugiat iure perspiciatis.,AI/ML
113,58,E-commerce Recommender,Corrupti voluptatum laboriosam eos ullam assumenda rerum quas expedita exercitationem quos maxime expedita atque.,IoT
114,58,AI Resume Screener,Eum error repellat beatae sed officia perspiciatis cum voluptates doloribus cupiditate cum nam vero.,IoT
115,59,Placement Analytics Dashboard,Reiciendis occaecati delectus omnis hic qui sunt ipsum inventore a.,IoT
116,60,E-commerce Recommender,Dignissimos quibusdam repellat aperiam aut sit deleniti eveniet itaque ea.,IoT
117,60,AI Resume Screener,Minus odit nisi nostrum nesciunt expedita sapiente nulla repellendus provident error nostrum assumenda consequatur.,Cloud
118,60,IoT Smart Campus,Dolores blanditiis fuga consequuntur harum nisi nemo in laborum.,IoT
119,61,Fraud Detection System,Possimus officia voluptatum mollitia laudantium consequuntur et iste amet facere ab consequatur repellendus vitae magnam.,Web
120,62,Placement Analytics Dashboard,Illum laudantium quae ipsam cumque natus recusandae dolore adipisci dolore enim quos natus quo.,Cloud
121,62,IoT Smart Campus,Mollitia beatae beatae quod reprehenderit facilis reprehenderit aliquam quaerat molestias voluptatibus aut rerum quibusdam.,Cloud
122,62,Library Management Portal,Soluta adipisci ea similique assumenda sint blanditiis repellat distinctio qui porro.,Web
123,63,AI Resume Screener,Odio cumque consequuntur dignissimos dignissimos animi expedita eligendi molestiae eum provident enim eaque similique voluptates perspiciatis.,AI/ML
124,63,IoT Smart Campus,Consequatur quibusdam illum animi eius omnis praesentium consequatur.,IoT
125,63,Placement Analytics Dashboard,Quae repudiandae quis perspiciatis laudantium neque eaque impedit iste.,Web
126,64,Attendance Tracker,Illo quibusdam possimus soluta iste laborum neque sit.,Web
127,64,Fraud Detection System,Quasi itaque optio facere aperiam modi dolor inventore.,IoT
128,65,IoT Smart Campus,Libero eum eligendi molestias consectetur sequi ratione tempora quis aliquid.,AI/ML
129,65,Chatbot Assistant,Quos itaque commodi similique ipsam a vero dicta porro consequatur officiis culpa ut earum omnis dolorum.,Cloud
130,66,Placement Analytics Dashboard,Optio officiis amet numquam quas quidem inventore at atque distinctio aspernatur nisi.,Cloud
131,66,Placement Analytics Dashboard,Perspiciatis ab possimus repellendus voluptates in consequatur architecto fugit quas aut et sunt consequatur quo.,Data Engineering
132,67,Campus Event App,Odit perspiciatis architecto natus nostrum cum expedita distinctio quibusdam.,Data Engineering
133,67,Placement Analytics Dashboard,Nulla ipsam dolor tempore consequuntur commodi quas expedita inventore ratione dolorum officia dolorum.,Data Engineering
134,68,Weather Prediction Model,Nobis non quod porro sed omnis error maxime magni quibusdam eos amet tempore veritatis libero beatae.,Mobile
135,68,AI Resume Screener,Odit architecto suscipit accusamus facere et harum saepe in molestias cupiditate iusto voluptates asperiores.,Mobile
136,68,AI Resume Screener,Architecto ea aliquam aperiam ratione magni occaecati magnam impedit praesentium assumenda modi nulla eius est maiores.,AI/ML
137,69,E-commerce Recommender,Voluptate culpa eveniet nesciunt quis officiis officia est ipsa veritatis.,Web
138,69,Campus Event App,Animi assumenda ipsa iste non est qui qui blanditiis provident.,Web
139,69,AI Resume Screener,Cum veritatis minima quos quam cumque consectetur.,Mobile
140,70,Weather Prediction Model,Quasi blanditiis tempore ex inventore minima ea voluptate occaecati libero magni.,Mobile
141,71,Placement Analytics Dashboard,Libero necessitatibus facilis ducimus aut nemo quam dolorem.,Web
142,71,Chatbot Assistant,A similique accusamus aliquid facilis ullam debitis vero alias rem quae omnis dolore dolorum totam.,Cloud
143,71,Placement Analytics Dashboard,Earum aspernatur fuga magnam temporibus debitis rem voluptatem veritatis architecto iure eligendi.,Web
144,72,E-commerce Recommender,Eveniet mollitia ab dicta natus esse numquam iure nihil laudantium quo.,AI/ML
145,72,AI Resume Screener,Quasi molestias recusandae corrupti ut ad molestiae odio possimus ab.,Data Engineering
146,72,Campus Event App,A omnis sed quas aut minus dolores laudantium animi voluptatum quae at.,Mobile
147,73,E-commerce Recommender,Tempore maxime praesentium fuga voluptate assumenda atque consequatur reprehenderit asperiores.,Mobile
148,73,AI Resume Screener,Aperiam optio consectetur eos sed unde hic rerum eveniet iste doloremque velit consequatur quo autem.,Data Engineering
149,74,Attendance Tracker,Cum iure illo modi vitae dignissimos est eaque.,Web
150,75,Attendance Tracker,At rem esse provident nobis dolor sequi corporis quae.,Cloud
151,75,IoT Smart Campus,Id aliquid error reprehenderit cupiditate veritatis sequi nam mollitia atque aut recusandae.,Data Engineering
152,75,Weather Prediction Model,Accusamus rerum voluptatem consectetur reprehenderit fuga occaecati officia neque.,Cloud
153,76,Placement Analytics Dashboard,Totam asperiores voluptatum deserunt officia repellat at sed repellat commodi velit.,Mobile
154,77,IoT Smart Campus,Cumque nemo reprehenderit hic adipisci placeat cupiditate.,Data Engineering
155,77,AI Resume Screener,Tenetur eius ipsum corrupti nostrum nulla officia libero sunt laboriosam.,Data Engineering
156,78,Weather Prediction Model,Eius consequatur dicta suscipit minima occaecati reiciendis recusandae.,AI/ML
157,78,Attendance Tracker,Quos facere molestias laborum totam magnam harum debitis eum dolor tempore quod.,IoT
158,79,IoT Smart Campus,Repellat iusto facere nesciunt doloremque cum dolorum dolores.,Mobile
159,80,AI Resume Screener,Repellendus totam animi voluptatum dolor sed reiciendis explicabo saepe sapiente debitis nihil rem possimus totam.,IoT
160,80,IoT Smart Campus,Provident explicabo necessitatibus consequuntur veniam saepe repellat.,Web
161,80,Campus Event App,Molestiae cupiditate alias animi nobis accusantium labore ex nostrum rem exercitationem debitis rem sit.,IoT
162,81,Weather Prediction Model,Accusantium nesciunt totam quo sed similique vero fuga.,Cloud
163,81,AI Resume Screener,Nesciunt excepturi eum voluptate quasi ipsa odit laborum et provident natus suscipit nostrum.,Data Engineering
164,82,Attendance Tracker,Dolore nihil cupiditate esse porro consectetur quas veniam veniam hic voluptatibus vitae.,Cloud
165,82,Chatbot Assistant,Delectus et repellat nostrum odit aut libero.,Web
166,82,Campus Event App,Quia dolores voluptatem cumque suscipit at quae odit suscipit ipsum eaque dolorum.,Cloud
167,83,Weather Prediction Model,Expedita ratione quam aliquid ipsa in cumque impedit.,Cloud
168,84,Placement Analytics Dashboard,Expedita fugiat repudiandae ratione neque quis dolorem iste reiciendis alias accusantium ea.,Data Engineering
169,84,Library Management Portal,Asperiores cumque fugiat quasi molestias tempore at nisi.,AI/ML
170,84,E-commerce Recommender,Tempora provident inventore officiis non ipsa amet ex voluptate illum mollitia unde molestiae optio error atque.,Cloud
171,85,Placement Analytics Dashboard,Nemo saepe corrupti facere incidunt eos optio nobis dicta ad cupiditate eos aspernatur.,Web
172,85,Library Management Portal,Est id laudantium optio at molestias delectus suscipit.,AI/ML
173,85,Fraud Detection System,Delectus aliquid ipsam ea saepe natus corrupti possimus atque pariatur repellat impedit.,Mobile
174,86,Weather Prediction Model,Dolorem aperiam harum minima vitae porro vel nemo doloremque error hic sequi alias necessitatibus maxime nemo.,IoT
175,86,Attendance Tracker,Corporis veniam ipsum veniam cumque distinctio deserunt aliquam aspernatur placeat dicta reprehenderit corporis nisi eum quas.,Mobile
176,87,E-commerce Recommender,Assumenda nam mollitia sequi maxime totam accusamus praesentium.,Cloud
177,87,Campus Event App,Minima in impedit corporis nihil quis velit unde natus aut enim modi exercitationem illum fugit laborum.,AI/ML
178,87,IoT Smart Campus,Labore cupiditate illo nulla perspiciatis illo id soluta porro aliquid labore eaque fuga excepturi recusandae est.,IoT
179,88,E-commerce Recommender,Similique placeat voluptas dolorem error quia quo eum quas non at ipsam totam illum.,AI/ML
180,88,Weather Prediction Model,Quis sint reprehenderit maiores culpa est magni consequatur sed sunt adipisci deserunt rerum saepe.,AI/ML
181,88,AI Resume Screener,Alias amet facere dicta fuga iure id ullam perspiciatis doloribus.,IoT
182,89,IoT Smart Campus,Nisi debitis sit nesciunt expedita cum tempora quibusdam porro eligendi harum cum nemo vitae.,IoT
183,90,Attendance Tracker,Officia perspiciatis eaque illum accusantium quos quisquam ab tenetur officia.,Data Engineering
184,90,IoT Smart Campus,Reiciendis dolore non velit quae quae eius tempora sed itaque dolor error maxime numquam nesciunt ab.,Cloud
185,91,Chatbot Assistant,Natus nisi eligendi placeat laboriosam excepturi eius eveniet eius omnis veritatis officiis.,IoT
186,91,E-commerce Recommender,Corrupti quisquam tempore rem rem nobis optio perspiciatis quam omnis.,IoT
187,92,E-commerce Recommender,Ea in harum alias provident nemo deleniti quas dolore modi quos.,Data Engineering
188,92,Chatbot Assistant,Magni sapiente saepe soluta debitis atque consectetur ea repellat quis delectus perspiciatis.,Web
189,92,Attendance Tracker,Omnis dolore dolore sit in suscipit fuga nesciunt iure blanditiis amet odio.,Mobile
190,93,Chatbot Assistant,Velit architecto suscipit magnam sint fugit error amet sequi consequuntur dicta illum necessitatibus tenetur itaque et.,Cloud
191,93,Campus Event App,Quod laborum occaecati debitis odio a earum quis cumque.,AI/ML
192,94,Fraud Detection System,Laudantium quis at nostrum odio illo vitae fugit alias.,AI/ML
193,94,Placement Analytics Dashboard,Quas veniam tempora quidem minus accusantium a quasi dolorem soluta.,Data Engineering
194,94,Campus Event App,Consectetur fugit nihil cumque reprehenderit error enim quas nisi excepturi suscipit.,AI/ML
195,95,Library Management Portal,Exercitationem temporibus facere deleniti veniam ullam illo dolorem quas.,Cloud
196,95,IoT Smart Campus,Distinctio accusantium magnam commodi quae recusandae fugiat odit quo.,Data Engineering
197,96,AI Resume Screener,Aliquid voluptatum optio officiis accusantium porro impedit fugit molestias labore corrupti possimus occaecati error optio optio.,IoT
198,97,Library Management Portal,Numquam praesentium in tempore maiores nulla eligendi quos libero non quod.,AI/ML
199,97,AI Resume Screener,Voluptate facere illum cum molestias tenetur porro laboriosam doloremque accusamus at beatae nemo laudantium veniam.,IoT
200,97,Weather Prediction Model,Asperiores quam temporibus officia itaque voluptate eaque amet repellat soluta sequi facere perspiciatis incidunt blanditiis.,Mobile
201,98,Weather Prediction Model,Ab consequuntur officia eveniet tempora veritatis eaque.,Mobile
202,98,Placement Analytics Dashboard,Fuga exercitationem beatae id itaque saepe porro laboriosam.,Web
203,98,Library Management Portal,Officiis reiciendis beatae possimus animi velit cum impedit nihil rem perspiciatis debitis fugit.,AI/ML
204,99,Library Management Portal,Nostrum similique sunt quas tempora laboriosam laborum suscipit ipsam aperiam omnis accusamus.,Web
205,99,Attendance Tracker,Quisquam nemo natus voluptate pariatur excepturi minima praesentium atque optio dolorum exercitationem perspiciatis harum saepe.,AI/ML
206,100,E-commerce Recommender,Tempora nostrum accusamus vel magni iusto libero cumque quibusdam eum ex eius magni mollitia fugiat.,AI/ML
207,100,Chatbot Assistant,Aspernatur ipsam nemo at libero et voluptatem quia accusantium illo.,IoT
208,100,AI Resume Screener,Nam a at nobis nulla esse magni.,Web
209,101,E-commerce Recommender,Omnis itaque exercitationem repudiandae repellendus sapiente ex quisquam nobis quaerat.,IoT
210,101,Attendance Tracker,Quaerat beatae quis dolore exercitationem rerum vitae eos minima praesentium aliquid cum.,IoT
211,101,Library Management Portal,Reprehenderit quia illum ducimus deserunt blanditiis sequi dolor repudiandae.,Web
212,102,E-commerce Recommender,Quaerat autem impedit unde saepe nihil quo ipsum omnis vero.,AI/ML
213,102,Fraud Detection System,Vitae a quasi mollitia inventore nesciunt unde quos tenetur.,Data Engineering
214,103,Attendance Tracker,Cupiditate repellendus aut omnis non eum sunt in non possimus dolorum id exercitationem eos rem consequuntur.,AI/ML
215,104,AI Resume Screener,Praesentium quibusdam error praesentium similique quae vel odio dicta numquam enim exercitationem perferendis voluptatem officiis vero.,Data Engineering
216,104,Fraud Detection System,Molestiae odio quae quis natus nesciunt velit quae perferendis tempora modi soluta in accusamus.,Mobile
217,104,Library Management Portal,Ad corporis pariatur dicta quibusdam cum enim dolorum.,Cloud
218,105,Attendance Tracker,Porro eos quidem adipisci repellendus aut sint qui.,Cloud
219,106,Fraud Detection System,Quia natus dolores quos reiciendis enim optio unde harum vero.,IoT
220,106,Fraud Detection System,Vitae amet quia dicta sit similique ipsam dolorem odio quae facilis nihil.,IoT
221,106,Campus Event App,Deserunt quam deserunt ipsum voluptatem asperiores vitae quasi blanditiis aliquam eius eaque cum sapiente ab iure.,Cloud
222,107,Campus Event App,Aliquam ut nisi quo numquam sapiente error ratione mollitia.,Cloud
223,108,Campus Event App,Quos et dolore delectus architecto magnam impedit modi.,AI/ML
224,108,Fraud Detection System,Expedita sunt optio ex eos veniam nulla labore.,Mobile
225,108,IoT Smart Campus,Reprehenderit voluptatem ab pariatur ipsum temporibus nostrum numquam vero placeat eum totam velit harum molestiae.,Web
226,109,Attendance Tracker,Ad maxime quo maiores magni laborum eos officiis eum aspernatur atque.,Mobile
227,109,Placement Analytics Dashboard,Modi occaecati distinctio occaecati distinctio placeat saepe dignissimos repudiandae soluta qui ipsa repellendus asperiores placeat.,IoT
228,109,IoT Smart Campus,Itaque ex assumenda amet recusandae nam nemo.,IoT
229,110,IoT Smart Campus,Tenetur illum iste illo et harum blanditiis ab quam aperiam.,Mobile
230,110,Placement Analytics Dashboard,Aliquid sed facere magnam enim placeat non eligendi unde fugit reprehenderit adipisci culpa dolore quia reiciendis.,Data Engineering
231,110,Placement Analytics Dashboard,Eos odio error suscipit vitae sint officia vero accusamus soluta consequuntur aliquam nemo hic molestias.,Data Engineering
232,111,Weather Prediction Model,Esse quibusdam temporibus exercitationem impedit officia maiores cum.,Data Engineering
233,111,AI Resume Screener,Nulla dolorum beatae perferendis necessitatibus amet quibusdam voluptatibus molestias officia.,Mobile
234,112,Library Management Portal,Enim architecto atque quas laborum ex consectetur omnis.,Cloud
235,112,Chatbot Assistant,Eligendi architecto deserunt laborum eveniet optio possimus corrupti.,Data Engineering
236,112,Placement Analytics Dashboard,Facilis et incidunt a doloribus dolore qui ipsa saepe consequatur quasi soluta iure facere esse.,Cloud
237,113,Placement Analytics Dashboard,Autem officia aspernatur eligendi repudiandae tempora deserunt quasi occaecati quas tempora sed occaecati repellat neque.,Web
238,113,Weather Prediction Model,Distinctio alias ea tempora molestiae omnis corrupti hic tempora nihil similique consequatur magnam at facilis ab.,Mobile
239,113,Library Management Portal,Sed rem nostrum cumque maiores ipsum debitis veniam optio voluptas.,Cloud
240,114,Weather Prediction Model,Vel aliquam quis doloremque eaque doloremque pariatur maxime recusandae harum ullam sunt aliquam officiis.,AI/ML
241,114,Chatbot Assistant,Provident maxime repudiandae rerum ea molestias cupiditate officiis.,Web
242,115,Placement Analytics Dashboard,Nesciunt tempore aspernatur dolorum voluptate dolore illo repellendus exercitationem recusandae suscipit ab.,Cloud
243,116,Weather Prediction Model,Ipsam dolorem maiores eligendi corrupti culpa nobis repellendus optio.,Web
244,116,Attendance Tracker,Repellat quam laboriosam laboriosam distinctio cum rerum ad aliquam nemo cum occaecati aliquam.,AI/ML
245,116,Campus Event App,Corporis cumque ullam maxime illo voluptas odit soluta quas reprehenderit veniam dolor non iusto laboriosam.,Web
246,117,AI Resume Screener,Rerum nobis recusandae reprehenderit delectus optio eaque quam exercitationem iste.,Mobile
247,117,AI Resume Screener,Architecto fugiat consequatur accusantium minima tenetur placeat repudiandae non debitis temporibus nobis soluta minus quibusdam at.,IoT
