id,student_id,drive_id,readiness_score,skill_gaps,plan,created_at
16,40,1,77.8,"Data Structures,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,PostgreSQL,REST APIs.",2026-08-08T22:58:27.433411
17,41,1,67.45,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-21T01:58:27.433417
18,43,1,70.98,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-08T23:58:27.433450
19,44,1,81.73,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-20T06:58:27.433472
20,45,1,72.12,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-15T01:58:27.433481
21,46,1,82.57,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-15T16:58:27.433487
22,48,1,75.75,"Git,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript,PostgreSQL,REST APIs.",2026-08-07T20:58:27.433495
23,49,1,72.85,"Data Structures,Git,HTML/CSS,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL.",2026-08-19T16:58:27.433501
24,59,1,72.22,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-12T12:58:27.433507
25,62,1,78.25,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-04T02:58:27.433528
26,66,1,68.38,"Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-20T18:58:27.433539
27,71,1,80.1,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-11T05:58:27.433548
28,72,1,67.75,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-03T07:58:27.433556
29,78,1,87.13,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-21T03:58:27.433564
30,79,1,68.6,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-02T00:58:27.433572
31,91,1,77.02,"Data Structures,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,JavaScript,PostgreSQL.",2026-08-07T14:58:27.433580
32,93,1,64.95,"Data Structures,Git,HTML/CSS,JavaScript","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript.",2026-08-20T10:58:27.433587
33,95,1,73.45,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-04T01:58:27.433595
34,97,1,72.2,"Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-11T20:58:27.433604
35,102,1,75.95,"Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-07T00:58:27.433612
36,104,1,78.65,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-02T14:58:27.433621
37,111,1,80.05,"Git,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript,PostgreSQL.",2026-08-02T21:58:27.433631
38,113,1,82.8,"Data Structures,Git,HTML/CSS,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL.",2026-08-13T08:58:27.433639
39,115,1,61.6,"Data Structures,Git,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,PostgreSQL,REST APIs.",2026-08-08T23:58:27.433647
40,119,1,62.85,"Git,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,PostgreSQL,REST APIs.",2026-08-14T09:58:27.433655
41,120,1,68.85,"Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-21T05:58:27.433663
42,123,1,71.55,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-13T11:58:27.433672
43,124,1,66.55,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-13T20:58:27.433687
44,126,1,86.4,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-12T03:58:27.433705
45,128,1,78.02,"Git,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript,PostgreSQL,REST APIs.",2026-08-03T01:58:27.433718
46,129,1,68.92,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-19T18:58:27.433727
47,133,1,74.2,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-13T02:58:27.433737
48,134,1,66.85,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-12T16:58:27.433745
49,135,1,57.65,"Data Structures,Git,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL.",2026-08-12T17:58:27.433755
50,139,1,62.15,"Data Structures,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL.",2026-08-02T13:58:27.433764
51,140,1,80.67,"Data Structures,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL.",2026-08-18T04:58:27.433774
52,146,1,80.55,"Data Structures,Git,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,REST APIs.",2026-08-02T16:58:27.433783
53,149,1,63.22,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-11T05:58:27.433792
54,150,1,68.42,"Data Structures,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,PostgreSQL,REST APIs.",2026-08-15T23:58:27.433801
55,151,1,92.9,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-07T13:58:27.433809
56,152,1,83.5,"HTML/CSS,JavaScript,REST APIs","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,REST APIs.",2026-08-07T13:58:27.433818
57,153,1,79.85,"Git,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript,PostgreSQL,REST APIs.",2026-08-07T12:58:27.433827
58,154,1,78.85,"Data Structures,Git","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git.",2026-08-09T22:58:27.433836
59,159,1,69.0,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-07-31T20:58:27.433845
60,166,1,59.02,"Data Structures,Git,HTML/CSS,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,REST APIs.",2026-08-15T00:58:27.433854
61,176,1,74.82,"HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-19T19:58:27.433866
62,179,1,77.12,"Data Structures,Git,HTML/CSS,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,REST APIs.",2026-08-19T05:58:27.433875
63,187,1,73.4,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-01T20:58:27.433884
64,190,1,78.35,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-11T11:58:27.433893
65,191,1,76.15,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-07T08:58:27.433903
66,192,1,63.05,"Data Structures,Git,HTML/CSS,JavaScript","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript.",2026-08-13T05:58:27.433916
67,193,1,70.3,"Data Structures,Git,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,REST APIs.",2026-08-12T22:58:27.433936
68,198,1,81.32,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-17T06:58:27.433951
69,199,1,74.35,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-01T08:58:27.433962
70,201,1,58.2,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-16T18:58:27.433971
71,205,1,68.5,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-01T12:58:27.433997
72,209,1,74.2,"Data Structures,Git,HTML/CSS,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL.",2026-08-14T10:58:27.434008
73,211,1,78.05,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-01T12:58:27.434016
74,214,1,69.93,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-15T16:58:27.434026
75,221,1,67.4,"Data Structures,Git,HTML/CSS,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,REST APIs.",2026-08-04T23:58:27.434035
76,222,1,67.47,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-03T03:58:27.434050
77,228,1,82.18,"Git,JavaScript","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript.",2026-08-19T20:58:27.434064
78,234,1,68.82,"Data Structures,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,JavaScript,PostgreSQL.",2026-08-14T12:58:27.434080
79,236,1,72.2,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-13T05:58:27.434089
80,247,1,70.67,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-20T16:58:27.434098
81,250,1,77.5,"Data Structures,Git,HTML/CSS,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL.",2026-08-09T20:58:27.434107
82,254,1,76.25,"Data Structures,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,JavaScript,PostgreSQL,REST APIs.",2026-08-19T18:58:27.434116
83,259,1,72.07,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-14T02:58:27.434126
84,264,1,68.95,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-18T11:58:27.434135
85,267,1,69.32,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-04T23:58:27.434145
86,269,1,71.75,"JavaScript,PostgreSQL,REST APIs","Focus on: JavaScript first — complete a project or certification, then revisit remaining gaps: JavaScript,PostgreSQL,REST APIs.",2026-08-17T21:58:27.434154
87,274,1,70.1,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-19T06:58:27.434164
88,275,1,74.65,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-15T03:58:27.434172
89,276,1,65.7,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-03T02:58:27.434180
90,278,1,74.5,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-08T11:58:27.434189
91,283,1,66.27,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-01T00:58:27.434198
92,284,1,75.25,"Data Structures,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,JavaScript,PostgreSQL.",2026-08-12T09:58:27.434206
93,285,1,80.87,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-21T03:58:27.434215
94,286,1,72.6,"Data Structures,HTML/CSS,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,REST APIs.",2026-08-02T02:58:27.434225
95,294,1,75.8,"Data Structures,Git,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,REST APIs.",2026-08-11T00:58:27.434234
96,298,1,82.65,"Data Structures,Git,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL.",2026-08-01T02:58:27.434244
97,301,1,75.67,"Data Structures,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,PostgreSQL,REST APIs.",2026-08-06T04:58:27.434253
98,307,1,76.08,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-02T13:58:27.434263
99,308,1,78.95,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-16T02:58:27.434271
100,309,1,66.58,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-20T04:58:27.434279
101,310,1,76.12,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-16T19:58:27.434288
102,311,1,73.25,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-21T10:58:27.434296
103,313,1,65.28,"HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-02T07:58:27.434305
104,320,1,68.1,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-10T21:58:27.434313
105,321,1,73.32,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-04T19:58:27.434321
106,324,1,71.82,"Data Structures,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,PostgreSQL.",2026-08-10T07:58:27.434330
107,325,1,70.57,"Data Structures,Git,HTML/CSS,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL.",2026-08-08T19:58:27.434338
108,327,1,72.65,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-19T16:58:27.434348
109,330,1,62.1,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-17T01:58:27.434358
110,331,1,94.88,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-01T11:58:27.434370
111,333,1,81.22,"Data Structures,Git,HTML/CSS,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,REST APIs.",2026-08-19T06:58:27.434379
112,335,1,70.38,"Git,JavaScript,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,JavaScript,REST APIs.",2026-08-02T21:58:27.434443
113,336,1,76.5,"Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-02T17:58:27.434457
114,338,1,71.85,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-03T14:58:27.434467
115,340,1,71.83,"Data Structures,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,PostgreSQL,REST APIs.",2026-08-07T20:58:27.434477
116,341,1,90.25,"HTML/CSS,JavaScript,PostgreSQL","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,PostgreSQL.",2026-08-17T21:58:27.434486
117,345,1,61.25,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-19T18:58:27.434495
118,352,1,75.65,"Data Structures,Git,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,PostgreSQL,REST APIs.",2026-08-05T16:58:27.434504
119,353,1,74.1,"Data Structures,Git,JavaScript","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript.",2026-08-04T21:58:27.434512
120,354,1,66.95,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-07T03:58:27.434520
121,356,1,75.95,"Data Structures,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,PostgreSQL,REST APIs.",2026-08-13T07:58:27.434529
