id,drive_id,student_id,match_score,skill_score,academic_score,project_score,readiness_score,matched_skills,missing_skills,explanation,skill_evidence,missing_skills_explanation,status
11,1,23,37.66,23.33,76.1,0.0,62.05,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 37.66: skills 23.33 (x0.4), academics 76.1 (x0.25), projects 0.0 (x0.2), readiness 62.05 (x0.15).",HTML/CSS (proficiency 3/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
12,1,29,44.48,33.33,82.0,0.0,71.0,"PostgreSQL,REST APIs","Data Structures,Git,HTML/CSS,JavaScript","Weighted score 44.48: skills 33.33 (x0.4), academics 82.0 (x0.25), projects 0.0 (x0.2), readiness 71.0 (x0.15).",PostgreSQL (proficiency 2/5); REST APIs (proficiency 2/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript",Pending
13,1,30,39.1,10.0,92.4,0.0,80.0,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 39.1: skills 10.0 (x0.4), academics 92.4 (x0.25), projects 0.0 (x0.2), readiness 80.0 (x0.15).",Git (proficiency 4/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
14,1,31,62.89,66.67,97.6,0.0,78.8,"Git,HTML/CSS,JavaScript,REST APIs","Data Structures,PostgreSQL","Weighted score 62.89: skills 66.67 (x0.4), academics 97.6 (x0.25), projects 0.0 (x0.2), readiness 78.8 (x0.15).",Git (proficiency 3/5); HTML/CSS (proficiency 1/5); JavaScript (proficiency 2/5); REST APIs (proficiency 1/5),"Missing: Data Structures, PostgreSQL",Approved
15,1,37,48.75,20.0,79.9,50.0,71.82,"Git,REST APIs","Data Structures,HTML/CSS,JavaScript,PostgreSQL","Weighted score 48.75: skills 20.0 (x0.4), academics 79.9 (x0.25), projects 50.0 (x0.2), readiness 71.82 (x0.15).",Git (proficiency 4/5); REST APIs (proficiency 1/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL",Pending
16,1,40,49.28,33.33,97.1,0.0,77.8,"Git,JavaScript","Data Structures,HTML/CSS,PostgreSQL,REST APIs","Weighted score 49.28: skills 33.33 (x0.4), academics 97.1 (x0.25), projects 0.0 (x0.2), readiness 77.8 (x0.15).",Git (proficiency 2/5); JavaScript (proficiency 4/5),"Missing: Data Structures, HTML/CSS, PostgreSQL, REST APIs",Pending
17,1,41,42.27,23.33,91.3,0.0,67.45,JavaScript,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Weighted score 42.27: skills 23.33 (x0.4), academics 91.3 (x0.25), projects 0.0 (x0.2), readiness 67.45 (x0.15).",JavaScript (proficiency 1/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL, REST APIs",Pending
18,1,43,44.8,23.33,99.3,0.0,70.98,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 44.8: skills 23.33 (x0.4), academics 99.3 (x0.25), projects 0.0 (x0.2), readiness 70.98 (x0.15).",HTML/CSS (proficiency 4/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
19,1,44,49.04,0.0,93.8,66.67,81.73,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 49.04: skills 0.0 (x0.4), academics 93.8 (x0.25), projects 66.67 (x0.2), readiness 81.73 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
20,1,45,39.98,10.0,74.0,33.33,72.12,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 39.98: skills 10.0 (x0.4), academics 74.0 (x0.25), projects 33.33 (x0.2), readiness 72.12 (x0.15).",Git (proficiency 1/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
21,1,46,45.84,0.0,93.8,50.0,82.57,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 45.84: skills 0.0 (x0.4), academics 93.8 (x0.25), projects 50.0 (x0.2), readiness 82.57 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
22,1,48,42.87,33.33,72.7,0.0,75.75,"Data Structures,HTML/CSS","Git,JavaScript,PostgreSQL,REST APIs","Weighted score 42.87: skills 33.33 (x0.4), academics 72.7 (x0.25), projects 0.0 (x0.2), readiness 75.75 (x0.15).",Data Structures (proficiency 2/5); HTML/CSS (proficiency 5/5),"Missing: Git, JavaScript, PostgreSQL, REST APIs",Pending
23,1,49,49.08,33.33,99.3,0.0,72.85,"JavaScript,REST APIs","Data Structures,Git,HTML/CSS,PostgreSQL","Weighted score 49.08: skills 33.33 (x0.4), academics 99.3 (x0.25), projects 0.0 (x0.2), readiness 72.85 (x0.15).",JavaScript (proficiency 1/5); REST APIs (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL",Pending
24,1,59,35.11,0.0,97.1,0.0,72.22,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 35.11: skills 0.0 (x0.4), academics 97.1 (x0.25), projects 0.0 (x0.2), readiness 72.22 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
25,1,62,33.86,0.0,88.5,0.0,78.25,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 33.86: skills 0.0 (x0.4), academics 88.5 (x0.25), projects 0.0 (x0.2), readiness 78.25 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
26,1,66,39.13,20.0,83.5,0.0,68.38,"Data Structures,REST APIs","Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 39.13: skills 20.0 (x0.4), academics 83.5 (x0.25), projects 0.0 (x0.2), readiness 68.38 (x0.15).",Data Structures (proficiency 2/5); REST APIs (proficiency 4/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL",Pending
27,1,71,36.32,10.0,81.2,0.0,80.1,Data Structures,"Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 36.32: skills 10.0 (x0.4), academics 81.2 (x0.25), projects 0.0 (x0.2), readiness 80.1 (x0.15).",Data Structures (proficiency 5/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
28,1,72,43.7,10.0,91.5,33.33,67.75,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 43.7: skills 10.0 (x0.4), academics 91.5 (x0.25), projects 33.33 (x0.2), readiness 67.75 (x0.15).",Git (proficiency 1/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
29,1,78,55.8,23.33,93.6,50.0,87.13,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 55.8: skills 23.33 (x0.4), academics 93.6 (x0.25), projects 50.0 (x0.2), readiness 87.13 (x0.15).",HTML/CSS (proficiency 5/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
30,1,79,32.99,0.0,90.8,0.0,68.6,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 32.99: skills 0.0 (x0.4), academics 90.8 (x0.25), projects 0.0 (x0.2), readiness 68.6 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
31,1,91,49.56,43.33,82.7,0.0,77.02,"Git,HTML/CSS,REST APIs","Data Structures,JavaScript,PostgreSQL","Weighted score 49.56: skills 43.33 (x0.4), academics 82.7 (x0.25), projects 0.0 (x0.2), readiness 77.02 (x0.15).",Git (proficiency 3/5); HTML/CSS (proficiency 1/5); REST APIs (proficiency 4/5),"Missing: Data Structures, JavaScript, PostgreSQL",Pending
32,1,93,51.8,33.33,74.9,50.0,64.95,"PostgreSQL,REST APIs","Data Structures,Git,HTML/CSS,JavaScript","Weighted score 51.8: skills 33.33 (x0.4), academics 74.9 (x0.25), projects 50.0 (x0.2), readiness 64.95 (x0.15).",PostgreSQL (proficiency 5/5); REST APIs (proficiency 1/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript",Pending
33,1,95,32.24,0.0,84.9,0.0,73.45,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 32.24: skills 0.0 (x0.4), academics 84.9 (x0.25), projects 0.0 (x0.2), readiness 73.45 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
34,1,97,48.93,33.33,72.4,33.33,72.2,"Data Structures,JavaScript","Git,HTML/CSS,PostgreSQL,REST APIs","Weighted score 48.93: skills 33.33 (x0.4), academics 72.4 (x0.25), projects 33.33 (x0.2), readiness 72.2 (x0.15).",Data Structures (proficiency 3/5); JavaScript (proficiency 1/5),"Missing: Git, HTML/CSS, PostgreSQL, REST APIs",Pending
35,1,102,48.37,20.0,75.9,50.0,75.95,"Data Structures,REST APIs","Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 48.37: skills 20.0 (x0.4), academics 75.9 (x0.25), projects 50.0 (x0.2), readiness 75.95 (x0.15).",Data Structures (proficiency 5/5); REST APIs (proficiency 1/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL",Pending
36,1,104,45.08,23.33,95.8,0.0,78.65,JavaScript,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Weighted score 45.08: skills 23.33 (x0.4), academics 95.8 (x0.25), projects 0.0 (x0.2), readiness 78.65 (x0.15).",JavaScript (proficiency 3/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL, REST APIs",Pending
37,1,111,52.99,43.33,94.6,0.0,80.05,"Data Structures,HTML/CSS,REST APIs","Git,JavaScript,PostgreSQL","Weighted score 52.99: skills 43.33 (x0.4), academics 94.6 (x0.25), projects 0.0 (x0.2), readiness 80.05 (x0.15).",Data Structures (proficiency 2/5); HTML/CSS (proficiency 5/5); REST APIs (proficiency 5/5),"Missing: Git, JavaScript, PostgreSQL",Pending
38,1,113,45.65,33.33,79.6,0.0,82.8,"JavaScript,REST APIs","Data Structures,Git,HTML/CSS,PostgreSQL","Weighted score 45.65: skills 33.33 (x0.4), academics 79.6 (x0.25), projects 0.0 (x0.2), readiness 82.8 (x0.15).",JavaScript (proficiency 4/5); REST APIs (proficiency 3/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL",Pending
39,1,115,46.21,46.67,73.2,0.0,61.6,"HTML/CSS,JavaScript","Data Structures,Git,PostgreSQL,REST APIs","Weighted score 46.21: skills 46.67 (x0.4), academics 73.2 (x0.25), projects 0.0 (x0.2), readiness 61.6 (x0.15).",HTML/CSS (proficiency 4/5); JavaScript (proficiency 1/5),"Missing: Data Structures, Git, PostgreSQL, REST APIs",Pending
40,1,119,49.12,56.67,68.1,0.0,62.85,"Data Structures,HTML/CSS,JavaScript","Git,PostgreSQL,REST APIs","Weighted score 49.12: skills 56.67 (x0.4), academics 68.1 (x0.25), projects 0.0 (x0.2), readiness 62.85 (x0.15).",Data Structures (proficiency 1/5); HTML/CSS (proficiency 2/5); JavaScript (proficiency 5/5),"Missing: Git, PostgreSQL, REST APIs",Pending
41,1,120,36.38,20.0,72.2,0.0,68.85,"Data Structures,REST APIs","Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 36.38: skills 20.0 (x0.4), academics 72.2 (x0.25), projects 0.0 (x0.2), readiness 68.85 (x0.15).",Data Structures (proficiency 2/5); REST APIs (proficiency 5/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL",Pending
42,1,123,46.01,10.0,85.1,50.0,71.55,REST APIs,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 46.01: skills 10.0 (x0.4), academics 85.1 (x0.25), projects 50.0 (x0.2), readiness 71.55 (x0.15).",REST APIs (proficiency 4/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL",Pending
43,1,124,56.36,10.0,89.5,100.0,66.55,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 56.36: skills 10.0 (x0.4), academics 89.5 (x0.25), projects 100.0 (x0.2), readiness 66.55 (x0.15).",Git (proficiency 4/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
44,1,126,47.16,0.0,96.8,50.0,86.4,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 47.16: skills 0.0 (x0.4), academics 96.8 (x0.25), projects 50.0 (x0.2), readiness 86.4 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
45,1,128,59.82,33.33,85.8,66.67,78.02,"Data Structures,HTML/CSS","Git,JavaScript,PostgreSQL,REST APIs","Weighted score 59.82: skills 33.33 (x0.4), academics 85.8 (x0.25), projects 66.67 (x0.2), readiness 78.02 (x0.15).",Data Structures (proficiency 1/5); HTML/CSS (proficiency 3/5),"Missing: Git, JavaScript, PostgreSQL, REST APIs",Approved
46,1,129,39.8,23.33,80.5,0.0,68.92,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 39.8: skills 23.33 (x0.4), academics 80.5 (x0.25), projects 0.0 (x0.2), readiness 68.92 (x0.15).",HTML/CSS (proficiency 3/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
47,1,133,53.56,23.33,92.4,50.0,74.2,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 53.56: skills 23.33 (x0.4), academics 92.4 (x0.25), projects 50.0 (x0.2), readiness 74.2 (x0.15).",HTML/CSS (proficiency 1/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
48,1,134,39.78,23.33,81.7,0.0,66.85,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 39.78: skills 23.33 (x0.4), academics 81.7 (x0.25), projects 0.0 (x0.2), readiness 66.85 (x0.15).",HTML/CSS (proficiency 5/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
49,1,135,39.8,33.33,71.3,0.0,57.65,"HTML/CSS,REST APIs","Data Structures,Git,JavaScript,PostgreSQL","Weighted score 39.8: skills 33.33 (x0.4), academics 71.3 (x0.25), projects 0.0 (x0.2), readiness 57.65 (x0.15).",HTML/CSS (proficiency 1/5); REST APIs (proficiency 1/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL",Pending
50,1,139,35.65,20.0,73.3,0.0,62.15,"Git,REST APIs","Data Structures,HTML/CSS,JavaScript,PostgreSQL","Weighted score 35.65: skills 20.0 (x0.4), academics 73.3 (x0.25), projects 0.0 (x0.2), readiness 62.15 (x0.15).",Git (proficiency 1/5); REST APIs (proficiency 2/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL",Pending
51,1,140,41.85,20.0,87.0,0.0,80.67,"Git,REST APIs","Data Structures,HTML/CSS,JavaScript,PostgreSQL","Weighted score 41.85: skills 20.0 (x0.4), academics 87.0 (x0.25), projects 0.0 (x0.2), readiness 80.67 (x0.15).",Git (proficiency 2/5); REST APIs (proficiency 5/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL",Pending
52,1,146,59.73,70.0,78.6,0.0,80.55,"HTML/CSS,JavaScript,PostgreSQL","Data Structures,Git,REST APIs","Weighted score 59.73: skills 70.0 (x0.4), academics 78.6 (x0.25), projects 0.0 (x0.2), readiness 80.55 (x0.15).",HTML/CSS (proficiency 4/5); JavaScript (proficiency 1/5); PostgreSQL (proficiency 2/5),"Missing: Data Structures, Git, REST APIs",Approved
53,1,149,29.41,0.0,79.7,0.0,63.22,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 29.41: skills 0.0 (x0.4), academics 79.7 (x0.25), projects 0.0 (x0.2), readiness 63.22 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
54,1,150,51.96,56.67,76.1,0.0,68.42,"Git,HTML/CSS,JavaScript","Data Structures,PostgreSQL,REST APIs","Weighted score 51.96: skills 56.67 (x0.4), academics 76.1 (x0.25), projects 0.0 (x0.2), readiness 68.42 (x0.15).",Git (proficiency 1/5); HTML/CSS (proficiency 4/5); JavaScript (proficiency 5/5),"Missing: Data Structures, PostgreSQL, REST APIs",Pending
55,1,151,46.72,23.33,93.8,0.0,92.9,HTML/CSS,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Weighted score 46.72: skills 23.33 (x0.4), academics 93.8 (x0.25), projects 0.0 (x0.2), readiness 92.9 (x0.15).",HTML/CSS (proficiency 5/5),"Missing: Data Structures, Git, JavaScript, PostgreSQL, REST APIs",Pending
56,1,152,50.11,43.33,81.0,0.0,83.5,"Data Structures,Git,PostgreSQL","HTML/CSS,JavaScript,REST APIs","Weighted score 50.11: skills 43.33 (x0.4), academics 81.0 (x0.25), projects 0.0 (x0.2), readiness 83.5 (x0.15).",Data Structures (proficiency 5/5); Git (proficiency 3/5); PostgreSQL (proficiency 2/5),"Missing: HTML/CSS, JavaScript, REST APIs",Pending
57,1,153,59.73,33.33,97.7,50.0,79.85,"Data Structures,HTML/CSS","Git,JavaScript,PostgreSQL,REST APIs","Weighted score 59.73: skills 33.33 (x0.4), academics 97.7 (x0.25), projects 50.0 (x0.2), readiness 79.85 (x0.15).",Data Structures (proficiency 5/5); HTML/CSS (proficiency 2/5),"Missing: Git, JavaScript, PostgreSQL, REST APIs",Approved
58,1,154,68.92,80.0,73.7,33.33,78.85,"HTML/CSS,JavaScript,PostgreSQL,REST APIs","Data Structures,Git","Weighted score 68.92: skills 80.0 (x0.4), academics 73.7 (x0.25), projects 33.33 (x0.2), readiness 78.85 (x0.15).",HTML/CSS (proficiency 5/5); JavaScript (proficiency 5/5); PostgreSQL (proficiency 4/5); REST APIs (proficiency 1/5),"Missing: Data Structures, Git",Approved
59,1,159,51.85,0.0,86.0,100.0,69.0,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 51.85: skills 0.0 (x0.4), academics 86.0 (x0.25), projects 100.0 (x0.2), readiness 69.0 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
60,1,166,46.86,23.33,74.7,50.0,59.02,PostgreSQL,"Data Structures,Git,HTML/CSS,JavaScript,REST APIs","Weighted score 46.86: skills 23.33 (x0.4), academics 74.7 (x0.25), projects 50.0 (x0.2), readiness 59.02 (x0.15).",PostgreSQL (proficiency 2/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript, REST APIs",Pending
61,1,176,38.8,20.0,78.3,0.0,74.82,"Data Structures,Git","HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 38.8: skills 20.0 (x0.4), academics 78.3 (x0.25), projects 0.0 (x0.2), readiness 74.82 (x0.15).",Data Structures (proficiency 3/5); Git (proficiency 5/5),"Missing: HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
62,1,179,51.96,46.67,86.9,0.0,77.12,"JavaScript,PostgreSQL","Data Structures,Git,HTML/CSS,REST APIs","Weighted score 51.96: skills 46.67 (x0.4), academics 86.9 (x0.25), projects 0.0 (x0.2), readiness 77.12 (x0.15).",JavaScript (proficiency 2/5); PostgreSQL (proficiency 3/5),"Missing: Data Structures, Git, HTML/CSS, REST APIs",Pending
63,1,187,39.54,23.33,76.8,0.0,73.4,JavaScript,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Weighted score 39.54: skills 23.33 (x0.4), academics 76.8 (x0.25), projects 0.0 (x0.2), readiness 73.4 (x0.15).",JavaScript (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL, REST APIs",Pending
64,1,190,36.43,10.0,82.7,0.0,78.35,REST APIs,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 36.43: skills 10.0 (x0.4), academics 82.7 (x0.25), projects 0.0 (x0.2), readiness 78.35 (x0.15).",REST APIs (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL",Pending
65,1,191,32.5,0.0,84.3,0.0,76.15,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 32.5: skills 0.0 (x0.4), academics 84.3 (x0.25), projects 0.0 (x0.2), readiness 76.15 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
66,1,192,42.19,33.33,77.6,0.0,63.05,"PostgreSQL,REST APIs","Data Structures,Git,HTML/CSS,JavaScript","Weighted score 42.19: skills 33.33 (x0.4), academics 77.6 (x0.25), projects 0.0 (x0.2), readiness 63.05 (x0.15).",PostgreSQL (proficiency 4/5); REST APIs (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript",Pending
67,1,193,47.11,46.67,71.6,0.0,70.3,"HTML/CSS,PostgreSQL","Data Structures,Git,JavaScript,REST APIs","Weighted score 47.11: skills 46.67 (x0.4), academics 71.6 (x0.25), projects 0.0 (x0.2), readiness 70.3 (x0.15).",HTML/CSS (proficiency 3/5); PostgreSQL (proficiency 4/5),"Missing: Data Structures, Git, JavaScript, REST APIs",Pending
68,1,198,46.84,10.0,95.9,33.33,81.32,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 46.84: skills 10.0 (x0.4), academics 95.9 (x0.25), projects 33.33 (x0.2), readiness 81.32 (x0.15).",Git (proficiency 5/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
69,1,199,32.83,0.0,86.7,0.0,74.35,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 32.83: skills 0.0 (x0.4), academics 86.7 (x0.25), projects 0.0 (x0.2), readiness 74.35 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
70,1,201,27.33,0.0,74.4,0.0,58.2,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 27.33: skills 0.0 (x0.4), academics 74.4 (x0.25), projects 0.0 (x0.2), readiness 58.2 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
71,1,205,45.65,10.0,85.5,50.0,68.5,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 45.65: skills 10.0 (x0.4), academics 85.5 (x0.25), projects 50.0 (x0.2), readiness 68.5 (x0.15).",Git (proficiency 4/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
72,1,209,47.56,33.33,92.4,0.0,74.2,"JavaScript,REST APIs","Data Structures,Git,HTML/CSS,PostgreSQL","Weighted score 47.56: skills 33.33 (x0.4), academics 92.4 (x0.25), projects 0.0 (x0.2), readiness 74.2 (x0.15).",JavaScript (proficiency 2/5); REST APIs (proficiency 2/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL",Pending
73,1,211,39.63,10.0,95.7,0.0,78.05,REST APIs,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 39.63: skills 10.0 (x0.4), academics 95.7 (x0.25), projects 0.0 (x0.2), readiness 78.05 (x0.15).",REST APIs (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL",Pending
